2026-06-24 07:03:32 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:03:32.246392", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-24 07:05:38 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:05:38.394862", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-24 07:53:44 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:53:44.482008", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-24 07:55:04 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:55:04.861446", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-24 07:56:01 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:56:01.703801", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-24 07:56:58 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:56:58.373499", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-24 07:59:02 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:59:02.025246", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-24 07:59:15 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:59:15.042680", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-24 07:59:33 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:59:33.962012", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-26 19:54:50 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-26T19:54:50.333202", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-26 19:54:54 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-26T19:54:54.734261", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-26 19:55:35 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-26T19:55:35.087700", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-26 19:57:52 | INFO | AI API Call [STARTED] | Function: generate_section_content | Model: sarvam-105b | Request Size: 2127 chars | Request: {"messages": [{"role": "system", "content": "You are an expert regulatory affairs consultant specializing in medical device submissions across multiple regulatory frameworks.\n\nGenerate professional, compliant content for regulatory submission sections based on the specific template requirements provided.\n\nRequirements:\n1. Use appropriate regulatory language and terminology for the target regulatory framework\n2. Include all required elements for the section as specified in the template\n3. Provide clear structure with headings and bullet poi..."}, {"role": "user", "content": "Generate professional regulatory content for the following template section:\n\n**Regulatory Section:** 1.1 - Applicant Information\n**Template Source:** IMDRF\n**Regulatory Framework:** EU MDR (Medical Device Regulation)\n\n**Description:** Details about the applicant organization\n\n**Template Requirements:**\n- Company name and full address\n- Contact person details (name, phone, email)\n- Business registration information\n- Regulatory contact information\n\n\n**Instructions:**\n1. Generate comprehensive, p..."}], "model": "sarvam-105b", "temperature": 0.3, "reasoning_effort": "medium", "max_tokens": 4096, "section_code": "1.1", "section_title": "Applicant Information", "requirements_count": 4, "context_data": {}}
2026-06-26 19:58:08 | INFO | AI API Call [SUCCESS] | Function: generate_section_content | Model: sarvam-105b | Duration: 15.381s | Tokens: 2781 | Rate: 180.80/s | Data: {"function": "generate_section_content", "model": "sarvam-105b", "duration_seconds": 15.381, "duration_ms": 15381.3, "success": true, "timestamp": "2026-06-26T19:57:52.917478", "request_size_chars": 2127, "response_length": 2875, "tokens_used": 2781, "tokens_per_second": 180.8} | Request: {"messages": [{"role": "system", "content": "You are an expert regulatory affairs consultant specializing in medical device submissions across multiple regulatory frameworks.\n\nGenerate professional, compliant content for regulatory submission sections based on the specific template requirements provided.\n\nRequirements:\n1. Use appropriate regulatory language and terminology for the target regulatory framework\n2. Include all required elements for the section as specified in the template\n3. Provide clear structure with headings and bullet poi..."}, {"role": "user", "content": "Generate professional regulatory content for the following template section:\n\n**Regulatory Section:** 1.1 - Applicant Information\n**Template Source:** IMDRF\n**Regulatory Framework:** EU MDR (Medical Device Regulation)\n\n**Description:** Details about the applicant organization\n\n**Template Requirements:**\n- Company name and full address\n- Contact person details (name, phone, email)\n- Business registration information\n- Regulatory contact information\n\n\n**Instructions:**\n1. Generate comprehensive, p..."}], "model": "sarvam-105b", "temperature": 0.3, "reasoning_effort": "medium", "max_tokens": 4096, "section_code": "1.1", "section_title": "Applicant Information", "requirements_count": 4, "context_data": {}} | Response: ***

### **1.1 Applicant Information**

**[Document Title/Submission Reference Number]**
**[Date of Submission]**

**1.1.1 Introduction**

The following information pertains to the legal entity designated as the **Applicant** for the medical device identified as `[Device Name/Model/Trade Name]`. The Applicant is the economic operator responsible for the conformity assessment, the issuance of the Declaration of Conformity (DoC), and the overall compliance of the device with the requirements of Re...
2026-06-27 09:05:05 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:05:05.688209", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:05:23 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:05:23.220650", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:05:49 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:05:49.014895", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:06:25 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:06:25.478295", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:07:09 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:07:09.080239", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:07:15 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:07:15.636472", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:07:19 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:07:19.222128", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:07:23 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:07:23.943514", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:07:52 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:07:52.450857", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:15:33 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:15:33.409117", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:15:45 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:15:45.787322", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
